,feature,feature_value,precision,recall,f_beta
0,workclass,State-gov,0.9593023255813954,0.9348441926345609,0.9469153515064562
1,workclass,Self-emp-not-inc,0.9576023391812866,0.9046961325966851,0.9303977272727273
2,workclass,Private,0.9508400746733043,0.923634898247028,0.9370400654129191
3,workclass,Federal-gov,0.9559228650137741,0.9353099730458221,0.9455040871934605
4,workclass,Local-gov,0.9490131578947368,0.9351701782820098,0.9420408163265306
5,workclass,?,0.9095744680851063,0.8952879581151832,0.9023746701846964
6,workclass,Self-emp-inc,0.9634551495016611,0.932475884244373,0.9477124183006537
7,workclass,Without-pay,1.0,1.0,1.0
8,workclass,Never-worked,1.0,1.0,1.0
9,education,Bachelors,0.9467989179440938,0.9455200360198109,0.9461590448299166
10,education,HS-grad,0.9502583979328165,0.8782089552238806,0.9128141483090288
11,education,11th,1.0,0.85,0.9189189189189189
12,education,Masters,0.9445015416238438,0.9582898852971846,0.9513457556935818
13,education,9th,1.0,0.8888888888888888,0.9411764705882353
14,education,Some-college,0.9515885022692889,0.9069935111751982,0.9287559985234404
15,education,Assoc-acdm,0.9642857142857143,0.9169811320754717,0.9400386847195357
16,education,Assoc-voc,0.95,0.8947368421052632,0.9215406562054209
17,education,7th-8th,1.0,0.825,0.9041095890410958
18,education,Doctorate,0.9648562300319489,0.9869281045751634,0.975767366720517
19,education,Prof-school,0.9697674418604652,0.9858156028368794,0.9777256740914421
20,education,5th-6th,1.0,0.9375,0.967741935483871
21,education,10th,0.9473684210526315,0.8709677419354839,0.9075630252100839
22,education,1st-4th,1.0,1.0,1.0
23,education,Preschool,1.0,1.0,1.0
24,education,12th,1.0,0.8484848484848485,0.9180327868852458
25,marital-status,Never-married,0.9862068965517241,0.8737270875763747,0.9265658747300215
26,marital-status,Married-civ-spouse,0.9483802603693612,0.9361924686192469,0.9422469544292376
27,marital-status,Divorced,0.9558823529411765,0.8423326133909287,0.8955223880597015
28,marital-status,Married-spouse-absent,1.0,0.8823529411764706,0.9375
29,marital-status,Separated,0.9824561403508771,0.8484848484848485,0.9105691056910568
30,marital-status,Married-AF-spouse,1.0,0.8,0.888888888888889
31,marital-status,Widowed,1.0,0.7764705882352941,0.8741721854304636
32,occupation,Adm-clerical,0.9373695198329853,0.8856015779092702,0.9107505070993914
33,occupation,Exec-managerial,0.9547993905535805,0.9552845528455285,0.9550419100838202
34,occupation,Handlers-cleaners,0.9733333333333334,0.8488372093023255,0.906832298136646
35,occupation,Prof-specialty,0.9563342318059299,0.9542764927380312,0.9553042541733979
36,occupation,Other-service,0.9661016949152542,0.8321167883211679,0.8941176470588236
37,occupation,Sales,0.9560557341907824,0.9074262461851476,0.9311064718162839
38,occupation,Craft-repair,0.95096921322691,0.8977395048439182,0.9235880398671096
39,occupation,Transport-moving,0.9530201342281879,0.8875,0.919093851132686
40,occupation,Farming-fishing,0.941747572815534,0.8434782608695652,0.8899082568807339
41,occupation,Machine-op-inspct,0.9361702127659575,0.88,0.9072164948453608
42,occupation,Tech-support,0.96,0.9328621908127208,0.9462365591397849
43,occupation,?,0.9095744680851063,0.8952879581151832,0.9023746701846964
44,occupation,Protective-serv,0.9359605911330049,0.9004739336492891,0.9178743961352657
45,occupation,Armed-Forces,1.0,1.0,1.0
46,occupation,Priv-house-serv,1.0,1.0,1.0
47,relationship,Not-in-family,0.9738903394255874,0.8714953271028038,0.9198520345252775
48,relationship,Husband,0.9484147386461012,0.9351132139236229,0.9417170084233814
49,relationship,Wife,0.9463806970509383,0.9476510067114094,0.9470154258886654
50,relationship,Own-child,1.0,0.7761194029850746,0.8739495798319328
51,relationship,Unmarried,0.9719101123595506,0.7935779816513762,0.8737373737373737
52,relationship,Other-relative,1.0,0.8918918918918919,0.9428571428571428
53,race,White,0.9521538016767852,0.9255304201208374,0.9386533665835411
54,race,Black,0.9559228650137741,0.896640826873385,0.9253333333333333
55,race,Asian-Pac-Islander,0.9411764705882353,0.927536231884058,0.9343065693430658
56,race,Amer-Indian-Eskimo,0.9428571428571428,0.9166666666666666,0.9295774647887323
57,race,Other,0.9545454545454546,0.84,0.8936170212765958
58,sex,Male,0.9515432098765432,0.925547883518463,0.9383655455790596
59,sex,Female,0.9539823008849557,0.914334181509754,0.9337375487223907
60,native-country,United-States,0.9522782808681903,0.9238599916329661,0.9378539071347678
61,native-country,Cuba,1.0,0.92,0.9583333333333334
62,native-country,Jamaica,0.875,0.7,0.7777777777777777
63,native-country,India,0.925,0.925,0.925
64,native-country,?,0.9370629370629371,0.9178082191780822,0.9273356401384083
65,native-country,Mexico,0.9655172413793104,0.8484848484848485,0.9032258064516129
66,native-country,South,0.8421052631578947,1.0,0.9142857142857143
67,native-country,Puerto-Rico,1.0,1.0,1.0
68,native-country,Honduras,1.0,1.0,1.0
69,native-country,England,0.967741935483871,1.0,0.9836065573770492
70,native-country,Canada,0.8809523809523809,0.9487179487179487,0.9135802469135802
71,native-country,Germany,1.0,0.9318181818181818,0.9647058823529412
72,native-country,Iran,1.0,1.0,1.0
73,native-country,Philippines,0.9655172413793104,0.9180327868852459,0.9411764705882353
74,native-country,Italy,1.0,0.84,0.9130434782608696
75,native-country,Poland,1.0,0.8333333333333334,0.9090909090909091
76,native-country,Columbia,1.0,0.5,0.6666666666666666
77,native-country,Cambodia,1.0,0.8571428571428571,0.923076923076923
78,native-country,Thailand,1.0,1.0,1.0
79,native-country,Ecuador,0.75,0.75,0.75
80,native-country,Laos,1.0,1.0,1.0
81,native-country,Taiwan,0.9090909090909091,1.0,0.9523809523809523
82,native-country,Haiti,1.0,0.75,0.8571428571428571
83,native-country,Portugal,1.0,1.0,1.0
84,native-country,Dominican-Republic,1.0,1.0,1.0
85,native-country,El-Salvador,1.0,1.0,1.0
86,native-country,France,1.0,0.75,0.8571428571428571
87,native-country,Guatemala,1.0,1.0,1.0
88,native-country,China,0.9523809523809523,1.0,0.975609756097561
89,native-country,Japan,0.9583333333333334,0.9583333333333334,0.9583333333333334
90,native-country,Yugoslavia,1.0,1.0,1.0
91,native-country,Peru,0.6666666666666666,1.0,0.8
92,native-country,Outlying-US(Guam-USVI-etc),1.0,1.0,1.0
93,native-country,Scotland,1.0,1.0,1.0
94,native-country,Trinadad&Tobago,1.0,1.0,1.0
